"","location","total_sqft","bath","price","bhk"
"2707","Harlur","2450","3","120","3"
"2708","Harlur","1460","3","73","3"
"2709","Harlur","1709","3","150","3"
"2710","Harlur","1174","2","69","2"
"2711","Harlur","1033","2","49","2"
"2712","Harlur","1197","2","84","2"
"2713","Harlur","1757","3","132","3"
"2714","Harlur","1174","2","76","2"
"2715","Harlur","1754","3","125","3"
"2716","Harlur","1290","2","85","2"
"2717","Harlur","1752.12","3","116","3"
"2718","Harlur","1754","3","135","3"
"2719","Harlur","1754","3","124","3"
"2720","Harlur","1152","2","69","2"
"2721","Harlur","1290","2","87","2"
"2722","Harlur","1749","3","115","3"
"2723","Harlur","3385","4","260","4"
"2724","Harlur","2240","5","155","3"
"2725","Harlur","1758","3","133","3"
"2726","Harlur","1884","4","120","4"
"2727","Harlur","1197","2","79","2"
"2728","Harlur","1174","2","78","2"
"2729","Harlur","1730","3","100","3"
"2730","Harlur","2138","3","110","3"
"2731","Harlur","1197","2","79","2"
"2732","Harlur","1749","3","112","3"
"2733","Harlur","1174","2","75","2"
"2734","Harlur","1750","3","136","3"
"2735","Harlur","1620","3","110","3"
"2736","Harlur","1414","3","77.5","3"
"2737","Harlur","1630","3","95.1","3"
"2738","Harlur","1459","3","135","3"
"2739","Harlur","1762","3","133","3"
"2740","Harlur","1756","3","131","3"
"2741","Harlur","1755","3","130","3"
"2742","Harlur","1864","3","140","3"
"2743","Harlur","1331","2","88","2"
"2744","Harlur","1752.12","3","133","3"
"2745","Harlur","1133","2","55","2"
"2746","Harlur","1756","3","128","3"
"2747","Harlur","1749","3","120","3"
"2748","Harlur","1197","2","82","2"
"2749","Harlur","1303","2","90","2"
"2750","Harlur","1754","3","132","3"
"2751","Harlur","1174","2","75","2"
"2752","Harlur","1756","3","134","3"
"2753","Harlur","1197","2","78","2"
"2754","Harlur","1290","2","89.9","2"
"2755","Harlur","1386","2","85","2"
"2756","Harlur","1174","2","74","2"
"2757","Harlur","1174","2","78","2"
"2758","Harlur","1710","3","85","3"
"2759","Harlur","1755","3","115","3"
"2760","Harlur","2569","4","175","4"
"2761","Harlur","1710","3","85","3"
"2762","Harlur","1197","2","77","2"
"2763","Harlur","1752.12","3","125","3"
"2764","Harlur","2569","5","180","4"
"2765","Harlur","1225","2","56","2"
"2766","Harlur","1197","2","76","2"
"2767","Harlur","2137","3","110","3"
"2768","Harlur","1197","2","75","2"
"2769","Harlur","1755","3","117","3"
"2770","Harlur","1197","2","79.9","2"
"2771","Harlur","936","2","45","2"
"2772","Harlur","2990","4","225","4"
"2773","Harlur","1370","2","88","2"
"2774","Hebbal","1760","2","123","3"
"2775","Hebbal","1900","3","119","3"
"2776","Hebbal","1349","2","98.2","2"
"2777","Hebbal","2483","5","212","4"
"2778","Hebbal","1760","2","130","3"
"2779","Hebbal","3450","5","260","3"
"2780","Hebbal","1920","3","134","3"
"2781","Hebbal","1337","2","82","2"
"2782","Hebbal","1349","2","98","2"
"2783","Hebbal","1036","2","50","2"
"2784","Hebbal","1255","2","77.68","3"
"2785","Hebbal","1355","3","83.87","3"
"2786","Hebbal","1790","3","127","3"
"2787","Hebbal","2790","5","198","4"
"2788","Hebbal","1985","4","189","3"
"2789","Hebbal","2483","5","215","4"
"2790","Hebbal","1080","2","54","2"
"2791","Hebbal","812","2","55","2"
"2792","Hebbal","2790","4","198","4"
"2793","Hebbal","1075","2","52","2"
"2794","Hebbal","3067","4","230","4"
"2795","Hebbal","1040","2","50","2"
"2796","Hebbal","2526","2","250","3"
"2797","Hebbal","3067","4","230","4"
"2798","Hebbal","1255","2","77.68","3"
"2799","Hebbal","823","2","50.63","2"
"2800","Hebbal","1420","2","123","2"
"2801","Hebbal","1069","3","65.4","3"
"2802","Hebbal","1420","2","99.39","2"
"2803","Hebbal","4235","4","365","4"
"2804","Hebbal","1700","3","124","3"
"2805","Hebbal","3960","5","386","4"
"2806","Hebbal","1550","2","75","3"
"2807","Hebbal","1420","2","99.39","2"
"2808","Hebbal","1355","3","83.87","3"
"2809","Hebbal","1440","2","115","2"
"2810","Hebbal","1100","2","54","2"
"2811","Hebbal","1355","3","83.87","3"
"2812","Hebbal","2400","4","180","3"
"2813","Hebbal","1255","2","77.68","3"
"2814","Hebbal","1420","2","107","2"
"2815","Hebbal","1320","2","92","2"
"2816","Hebbal","919","2","49","2"
"2817","Hebbal","1645","3","135","3"
"2818","Hebbal","2080","3","175","3"
"2819","Hebbal","1355","3","83.87","3"
"2820","Hebbal","2483","5","230","4"
"2821","Hebbal","2600","3","195","3"
"2822","Hebbal","1645","3","117","3"
"2823","Hebbal","1251","2","88.73","2"
"2824","Hebbal","1645","3","121","3"
"2825","Hebbal","1760","3","123","3"
"2826","Hebbal","2790","4","198","4"
"2827","Hebbal","3960","5","386","4"
"2828","Hebbal","1645","3","120","3"
"2829","Hebbal","1255","2","90","3"
"2830","Hebbal","1645","3","117","3"
"2831","Hebbal","1255","3","77.68","3"
"2832","Hebbal","1586","3","90","3"
"2833","Hebbal","1636","3","119","3"
"2834","Hebbal","1255","2","95","3"
"2835","Hebbal","2790","4","198","4"
"2836","Hebbal","1269","2","73","3"
"2837","Hebbal","1255","2","95","3"
"2838","Hebbal","1088","2","61.45","2"
"2839","Hebbal","1349","2","97.8","2"
"2840","Hebbal","1255","3","77.68","3"
"2841","Hebbal","1344","2","108","2"
"2842","Hebbal","1255","2","90","3"
"2843","Hebbal","1255","3","77.68","3"
"2844","Hebbal","1138","2","110","2"
"2845","Hebbal","2790","5","204","4"
"2846","Hebbal","1088","2","62","2"
"2847","Hebbal","1987","4","165","3"
"2848","Hebbal","2790","5","198","4"
"2849","Hebbal","1299","2","100","2"
"2850","Hebbal","1200","2","60","2"
"2851","Hebbal","1645","3","117","3"
"2852","Hebbal","1390","2","95","2"
"2853","Hebbal","1333","2","100","2"
"2854","Hebbal","1355","3","83.87","3"
"2855","Hebbal","2650","4","199","3"
"2856","Hebbal","1800","3","140","3"
"2857","Hebbal","1860","3","95","3"
"2858","Hebbal","2470","4","203","4"
"2859","Hebbal","1255","2","95","3"
"2860","Hebbal","1333","2","104","2"
"2861","Hebbal","1645","3","117","3"
"2862","Hebbal","2600","3","199","3"
"2863","Hebbal","1345","2","97","2"
"2864","Hebbal","1110","3","59","3"
"2865","Hebbal","985","2","62","2"
"2866","Hebbal","1320","2","91","2"
"2867","Hebbal","2388","3","195","3"
"2868","Hebbal","1040","2","55","2"
"2869","Hebbal","1315","3","65","3"
"2870","Hebbal","2600","3","195","3"
"2871","Hebbal","1075","2","52","2"
"2872","Hebbal","2790","5","198","4"
"2873","Hebbal","1645","3","113","3"
"2874","Hebbal","1355","3","83.87","3"
"2875","Hebbal","1420","2","99.39","2"
"2876","Hebbal","1590","3","96","3"
"2877","Hebbal","3520","5","320","3"
"2878","Hebbal","1162","2","69","2"
"2879","Hebbal","1100","2","60","2"
"2880","Hebbal","4235","5","364","4"
"2881","Hebbal","1299","2","97","2"
"2882","Hebbal","1255","3","77.68","3"
"2883","Hebbal","2470","5","192","4"
"2884","Hebbal","1645","3","117","3"
"2885","Hebbal","1920","3","134","3"
"2886","Hebbal","3520","5","240","3"
"2887","Hebbal","1920","3","150","3"
"2888","Hebbal","2375","4","189","4"
"2889","Hebbal","1420","2","99.26","2"
"2890","Hebbal","1252","2","92","2"
"2891","Hebbal","2790","4","198","4"
"2892","Hebbal","1162","2","59","2"
"2893","Hebbal","1294","2","115","2"
"2894","Hebbal","1150","2","57","2"
"2895","Hebbal","1740","2","137","3"
"2896","Hebbal","1430","3","85","3"
"2897","Hebbal","1662","3","155","3"
"2898","Hebbal","2250","3","219","3"
"2899","Hebbal","1349","2","98","2"
"2900","Hebbal","4000","6","370","4"
"2901","Hebbal","1349","2","96.8","2"
"2902","Hebbal Kempapura","1700","3","155","3"
"2903","Hebbal Kempapura","1800","3","175","3"
"2904","Hebbal Kempapura","2900","4","300","3"
"2905","Hebbal Kempapura","3522","3","380","3"
"2906","Hebbal Kempapura","2280","5","200","5"
"2907","Hebbal Kempapura","1200","2","125","2"
"2908","Hebbal Kempapura","2900","4","240","3"
"2909","Hebbal Kempapura","3900","5","360","4"
"2910","Hebbal Kempapura","1300","2","102","2"
"2911","Hebbal Kempapura","1466","2","140","3"
"2912","Hebbal Kempapura","3900","5","310","4"
"2913","Hebbal Kempapura","1725","2","165","3"
"2914","Hebbal Kempapura","1200","3","125","3"
"2915","Hebbal Kempapura","3408","3","260","3"
"2916","Hebbal Kempapura","1485","3","132","2"
"2917","Hebbal Kempapura","1400","2","108","2"
"2918","Hebbal Kempapura","1800","3","150","3"
"2919","Hebbal Kempapura","2400","5","200","5"
"2920","Hebbal Kempapura","2800","5","220","5"
"2921","Hebbal Kempapura","1785","3","165","3"
"2922","Hebbal Kempapura","3729","4","384","4"
"2923","Hebbal Kempapura","1600","3","170","3"
"2924","Hebbal Kempapura","1730","3","175","3"
"2925","Hebbal Kempapura","2485","4","198","4"
"2926","Hegde Nagar","1569","3","101","3"
"2927","Hegde Nagar","3000","7","210","6"
"2928","Hegde Nagar","2026","3","132","3"
"2929","Hegde Nagar","1801","3","115","3"
"2930","Hegde Nagar","1050","1","56","2"
"2931","Hegde Nagar","1341","2","97","2"
"2932","Hegde Nagar","2112.95","4","145","3"
"2933","Hegde Nagar","1200","4","83","4"
"2934","Hegde Nagar","1703","3","113","3"
"2935","Hegde Nagar","1570","3","105","3"
"2936","Hegde Nagar","1801","3","140","3"
"2937","Hegde Nagar","1584.01","3","103","3"
"2938","Hegde Nagar","1965","4","125","3"
"2939","Hegde Nagar","1200","2","75","2"
"2940","Hegde Nagar","1847","3","135","3"
"2941","Hegde Nagar","1965","4","132","3"
"2942","Hegde Nagar","1703","3","125","3"
"2943","Hegde Nagar","1847","3","125","3"
"2944","Hegde Nagar","2144.6","4","145","3"
"2945","Hegde Nagar","1718","3","119","3"
"2946","Hegde Nagar","1847","3","123","3"
"2947","Hegde Nagar","1340","2","72","2"
"2948","Hegde Nagar","2087.01","3","115","3"
"2949","Hegde Nagar","1703","3","130","3"
"2950","Hegde Nagar","2087.01","4","135","3"
"2951","Hegde Nagar","1718","3","130","3"
"2952","Hegde Nagar","1884","4","118","3"
"2953","Hegde Nagar","1930","4","122","3"
"2954","Hegde Nagar","1584.01","3","104","3"
"2955","Hegde Nagar","1168","2","68","3"
"2956","Hegde Nagar","2162.03","4","129","3"
"2957","Hegde Nagar","2087.01","4","160","3"
"2958","Hegde Nagar","1000","2","66","2"
"2959","Hegde Nagar","1348","2","80.5","3"
"2960","Hennur","1075","2","52","2"
"2961","Hennur","1255","2","52.32","2"
"2962","Hennur","1225","2","57","2"
"2963","Hennur","1255","2","57.5","2"
"2964","Hennur","1259","2","57","2"
"2965","Hennur","1255","2","53.5","2"
"2966","Hennur","1285","2","60","2"
"2967","Hennur","1285","2","60","2"
"2968","Hennur","1100","2","60","2"
"2969","Hennur","1231","2","48","2"
"2970","Hennur","1255","2","58","2"
"2971","Hennur","1040","2","42.12","2"
"2972","Hennur","1255","2","54.5","2"
"2973","Hennur","1041","2","40.6","2"
"2974","Hennur","1340","3","54.24","3"
"2975","Hennur","1255","2","55.5","2"
"2976","Hennur","1260","2","52","3"
"2977","Hennur","1231","2","50","2"
"2978","Hennur","2500","5","125","5"
"2979","Hennur","1160","2","49","2"
"2980","Hennur","2400","3","135","3"
"2981","Hennur","1255","2","53.5","2"
"2982","Hennur","1255","2","55.5","2"
"2983","Hennur","1100","2","44.55","2"
"2984","Hennur","1255","2","57.5","2"
"2985","Hennur","960","2","48","2"
"2986","Hennur","1020","2","48","2"
"2987","Hennur","1255","2","52.32","2"
"2988","Hennur","1295","2","64","2"
"2989","Hennur","1935","3","102","3"
"2990","Hennur","1655","2","70.5","3"
"2991","Hennur","1345","2","69","3"
"2992","Hennur","1255","2","58","2"
"2993","Hennur","1420","2","62","2"
"2994","Hennur","1155","2","54.5","2"
"2995","Hennur","1255","2","52.32","2"
"2996","Hennur","1255","2","52.35","2"
"2997","Hennur","1340","2","54.27","3"
"2998","Hennur","1255","2","54.5","2"
"2999","Hennur","1830","2","113","3"
"3000","Hennur","1255","2","55.5","2"
"3001","Hennur","1255","2","53.57","2"
"3002","Hennur","1255","2","56.5","2"
"3003","Hennur","1050","2","42.73","2"
"3004","Hennur","1295","2","62","2"
"3005","Hennur Road","2089","3","140","3"
"3006","Hennur Road","5000","8","250","8"
"3007","Hennur Road","1385","2","83.09","2"
"3008","Hennur Road","1500","2","62","3"
"3009","Hennur Road","2264","3","159","3"
"3010","Hennur Road","1157","2","84","2"
"3011","Hennur Road","1904","3","120","3"
"3012","Hennur Road","1891","3","109","3"
"3013","Hennur Road","1561","3","95","3"
"3014","Hennur Road","1192","2","60","3"
"3015","Hennur Road","2060","3","149","3"
"3016","Hennur Road","1482","2","92","3"
"3017","Hennur Road","1232","2","89","2"
"3018","Hennur Road","1065","2","42.6","2"
"3019","Hennur Road","1482","2","83.73","3"
"3020","Hennur Road","1482","2","87","3"
"3021","Hennur Road","1891","3","139","3"
"3022","Hennur Road","1703","3","101","3"
"3023","Hennur Road","1232","2","69.61","2"
"3024","Hennur Road","987","2","49","2"
"3025","Hennur Road","1804","3","102","3"
"3026","Hennur Road","2160","3","160","3"
"3027","Hennur Road","1186","2","63","3"
"3028","Hennur Road","1680","3","99.27","3"
"3029","Hennur Road","1065","2","42.6","2"
"3030","Hennur Road","1385","2","83.09","2"
"3031","Hennur Road","1186","2","56","3"
"3032","Hennur Road","2350","3","174","3"
"3033","Hennur Road","1586","3","93.94","3"
"3034","Hennur Road","1975","3","123","3"
"3035","Hennur Road","1290","2","94.5","3"
"3036","Hennur Road","901","2","49.5","2"
"3037","Hennur Road","1445","3","86.56","3"
"3038","Hennur Road","1482","2","97","3"
"3039","Hennur Road","1182","2","82.5","2"
"3040","Hennur Road","1192","2","62","3"
"3041","Hennur Road","1036","2","59.46","2"
"3042","Hennur Road","1891","3","109","3"
"3043","Hennur Road","1232","2","69.61","2"
"3044","Hennur Road","1804","3","102","3"
"3045","Hennur Road","2320","3","170","3"
"3046","Hennur Road","1936","3","118","3"
"3047","Hennur Road","1480","2","65","2"
"3048","Hennur Road","1590","3","96.5","3"
"3049","Hennur Road","1445","2","105","3"
"3050","Hennur Road","1036","2","59.45","2"
"3051","Hennur Road","1832","3","125","3"
"3052","Hennur Road","1359","2","104","2"
"3053","Hennur Road","1341","2","75.76","2"
"3054","Hennur Road","1040","2","50","2"
"3055","Hennur Road","1685","3","95","3"
"3056","Hennur Road","1414","2","84.18","2"
"3057","Hennur Road","1949","3","133","3"
"3058","Hennur Road","1232","2","89","2"
"3059","Hennur Road","1250","2","77.88","3"
"3060","Hennur Road","2502","4","180","4"
"3061","Hennur Road","1831","3","110","3"
"3062","Hennur Road","1232","2","87","2"
"3063","Hennur Road","1232","2","74","2"
"3064","Hennur Road","1232","2","66","2"
"3065","Hennur Road","1341","2","95","2"
"3066","Hennur Road","2700","3","150","3"
"3067","Hennur Road","1232","2","88","2"
"3068","Hennur Road","2365","4","175","3"
"3069","Hennur Road","1310","2","66","2"
"3070","Hennur Road","1552","3","75","3"
"3071","Hennur Road","1015","2","50","2"
"3072","Hennur Road","1186","2","55.33","3"
"3073","Hennur Road","2264","3","168","3"
"3074","Hennur Road","2002","3","120","3"
"3075","Hennur Road","1232","2","69.6","2"
"3076","Hennur Road","1195","2","73","2"
"3077","Hennur Road","1020","2","47","2"
"3078","Hennur Road","5100","6","375","5"
"3079","Hennur Road","1061","2","54.92","2"
"3080","Hennur Road","1585","2","80","3"
"3081","Hennur Road","1020","2","45","2"
"3082","Hennur Road","2041","3","128","3"
"3083","Hennur Road","1232","2","87","2"
"3084","Hennur Road","1066","2","52.23","2"
"3085","Hennur Road","973","2","56","2"
"3086","Hennur Road","1255","2","84","2"
"3087","Hennur Road","1232","2","83","2"
"3088","Hennur Road","1832","3","116","3"
"3089","Hennur Road","2050","3","120","3"
"3090","Hennur Road","1445","2","86.69","3"
"3091","Hennur Road","1445","2","83","3"
"3092","Hennur Road","1679","3","94.86","3"
"3093","Hennur Road","1482","2","68.9","3"
"3094","Hennur Road","1654","3","97.8","3"
"3095","Hennur Road","1480","3","100","3"
"3096","Hennur Road","1450","3","88.6","3"
"3097","Hennur Road","1155","2","69.18","2"
"3098","Hennur Road","1053","2","53","2"
"3099","Hennur Road","1195","2","59","2"
"3100","Hennur Road","1904","3","129","3"
"3101","Hennur Road","1981","3","134","3"
"3102","Hennur Road","1155","2","69.18","2"
"3103","Hennur Road","2000","4","90","4"
"3104","Hennur Road","1590","3","105","3"
"3105","Hennur Road","2041","3","138","3"
"3106","Hennur Road","1100","2","78","3"
"3107","Hennur Road","1880","4","154","4"
"3108","Hennur Road","1232","2","69.61","2"
"3109","Hennur Road","1748","3","103","3"
"3110","Hennur Road","1460","2","80.3","2"
"3111","Hennur Road","1933","3","140","3"
"3112","Hennur Road","1030","2","46.5","2"
"3113","Hennur Road","1232","2","69.61","2"
"3114","Hennur Road","1450","3","79","3"
"3115","Hennur Road","1445","2","89.56","3"
"3116","Hennur Road","973","2","50.74","2"
"3117","Hennur Road","1482","2","83.73","3"
"3118","Hennur Road","1305","2","77","3"
"3119","Hennur Road","1672","3","86","3"
"3120","Hennur Road","1165","2","67","2"
"3121","Hennur Road","980","2","51","2"
"3122","Hennur Road","1232","2","80","2"
"3123","Hennur Road","1085","2","43.4","2"
"3124","Hennur Road","950","2","55","2"
"3125","Hennur Road","1140","2","56","2"
"3126","Hennur Road","1891","3","110","3"
"3127","Hennur Road","1735","3","78","3"
"3128","Hennur Road","1470","2","75","3"
"3129","Hennur Road","1165","2","52","2"
"3130","Hennur Road","1450","2","80","2"
"3131","Hennur Road","1155","2","69.18","2"
"3132","Hennur Road","1936","3","131","3"
"3133","Hoodi","985","2","67","2"
"3134","Hoodi","1715","2","95","3"
"3135","Hoodi","2118","4","111","4"
"3136","Hoodi","1425","2","80","2"
"3137","Hoodi","1420","2","75","2"
"3138","Hoodi","1639","3","110","3"
"3139","Hoodi","1606","3","89.55","3"
"3140","Hoodi","1639","3","98.32","3"
"3141","Hoodi","2863","4","140","4"
"3142","Hoodi","1512","3","75.77","3"
"3143","Hoodi","1026","2","60.87","2"
"3144","Hoodi","1050","2","50","2"
"3145","Hoodi","1400","2","78","2"
"3146","Hoodi","2400","5","160","5"
"3147","Hoodi","1196","2","71.74","2"
"3148","Hoodi","1553","3","83.09","3"
"3149","Hoodi","1500","2","84","2"
"3150","Hoodi","1055","2","57.63","2"
"3151","Hoodi","1925","2","114","3"
"3152","Hoodi","1400","2","82","2"
"3153","Hoodi","1746","3","84.95","3"
"3154","Hoodi","706","1","48.24","1"
"3155","Hoodi","1257","2","69","2"
"3156","Hoodi","1132","2","67.9","2"
"3157","Hoodi","1925","3","110","3"
"3158","Hoodi","1769","3","96.87","3"
"3159","Hoodi","1257","2","71.03","2"
"3160","Hoodi","1305","2","75","2"
"3161","Hoodi","1490","3","79","3"
"3162","Hoodi","1240","2","65","2"
"3163","Hoodi","1370","3","67","3"
"3164","Hoodi","1108","2","74.23","2"
"3165","Hoodi","1257","2","68.5","2"
"3166","Hoodi","1000","2","48","2"
"3167","Hoodi","1063","2","61.17","2"
"3168","Hoodi","1259","2","69.45","2"
"3169","Hoodi","1559","3","81.55","3"
"3170","Hoodi","1715","2","100","3"
"3171","Hoodi","1350","3","70","3"
"3172","Hoodi","1447","3","76","2"
"3173","Hoodi","2144","3","140","3"
"3174","Hoodi","1108","2","66.46","2"
"3175","Hoodi","1400","3","74","3"
"3176","Hoodi","1837","3","110","3"
"3177","Hoodi","3385","4","220","4"
"3178","Hoodi","1644","3","80.51","3"
"3179","Hoodi","1181","2","55","2"
"3180","Hoodi","1490","3","85","3"
"3181","Horamavu Agara","1200","2","45","2"
"3182","Horamavu Agara","1560","3","75","3"
"3183","Horamavu Agara","755","2","37.49","2"
"3184","Horamavu Agara","982","2","47.65","2"
"3185","Horamavu Agara","1650","2","75","3"
"3186","Horamavu Agara","950","2","39","2"
"3187","Horamavu Agara","1756","3","92","3"
"3188","Horamavu Agara","1106","2","43.09","2"
"3189","Horamavu Agara","1079","2","41","2"
"3190","Horamavu Agara","1265","2","65","3"
"3191","Horamavu Agara","1060","2","37","2"
"3192","Horamavu Agara","1107.83","2","41.51","2"
"3193","Horamavu Agara","980","2","38.19","2"
"3194","Horamavu Agara","1250","3","65","3"
"3195","Horamavu Agara","1145","2","41.21","2"
"3196","Horamavu Agara","2400","3","80","5"
"3197","Horamavu Agara","1000","2","46","2"
"3198","Horamavu Agara","760","2","37.49","2"
"3199","Horamavu Agara","1150","2","42","2"
"3200","Horamavu Agara","1364","2","50","3"
"3201","Horamavu Agara","750","2","37.49","2"
"3202","Horamavu Agara","625","1","27","1"
"3203","Horamavu Agara","1080","2","38","2"
"3204","Horamavu Agara","994","2","42.28","2"
"3205","Horamavu Agara","1107.83","2","41.51","2"
"3206","Horamavu Agara","1300","2","52","3"
"3207","Horamavu Agara","1090","2","46","2"
"3208","Horamavu Agara","1400","3","63","3"
"3209","Horamavu Agara","1557","3","70","3"
"3210","Horamavu Agara","1058","2","47","2"
"3211","Horamavu Banaswadi","1554","3","55","3"
"3212","Horamavu Banaswadi","1611","3","66","3"
"3213","Horamavu Banaswadi","1460","2","80.5","2"
"3214","Horamavu Banaswadi","1156","2","46","2"
"3215","Horamavu Banaswadi","1180","2","58","2"
"3216","Horamavu Banaswadi","1307","2","51.6","2"
"3217","Horamavu Banaswadi","3800","8","200","6"
"3218","Horamavu Banaswadi","1357","2","54","2"
"3219","Horamavu Banaswadi","925","2","38","2"
"3220","Horamavu Banaswadi","1272","2","48","2"
"3221","Horamavu Banaswadi","1225","2","49.5","2"
"3222","Horamavu Banaswadi","1272","2","51.5","2"
"3223","Horamavu Banaswadi","1272","2","51.5","2"
"3224","Horamavu Banaswadi","1156","2","46.9","2"
"3225","Horamavu Banaswadi","1200","2","45","2"
"3226","Horamavu Banaswadi","1254","2","47","2"
"3227","Horamavu Banaswadi","1610","3","68","3"
"3228","Horamavu Banaswadi","1210","2","50","2"
"3229","Horamavu Banaswadi","1357","2","54","2"
"3230","Horamavu Banaswadi","1272","2","50","2"
"3231","Horamavu Banaswadi","1200","2","45","2"
"3232","Horamavu Banaswadi","1025","2","45","2"
"3233","Horamavu Banaswadi","1081","2","52","2"
"3234","Horamavu Banaswadi","1000","2","50","2"
"3235","Hormavu","1500","2","78","2"
"3236","Hormavu","1150","2","55","2"
"3237","Hormavu","715","1","46","1"
"3238","Hormavu","2100","3","73","3"
"3239","Hormavu","1180","2","50","2"
"3240","Hormavu","1200","2","67","2"
"3241","Hormavu","1200","3","70","2"
"3242","Hormavu","1175","2","52","2"
"3243","Hormavu","1351","2","53","1"
"3244","Hormavu","1141","2","44.4","2"
"3245","Hormavu","1130","2","42.3","2"
"3246","Hormavu","1500","3","70","3"
"3247","Hormavu","1725","3","85","3"
"3248","Hormavu","1153","2","65","2"
"3249","Hormavu","1150","2","53.11","2"
"3250","Hormavu","1123","2","56","2"
"3251","Hormavu","1385","2","69","3"
"3252","Hormavu","1030","2","49.35","2"
"3253","Hormavu","1018","2","50.8","2"
"3254","Hormavu","1555","3","75","3"
"3255","Hormavu","1143","2","53","2"
"3256","Hormavu","1100","2","38","2"
"3257","Hormavu","1000","2","50","2"
"3258","Hormavu","1200","2","68","2"
"3259","Hormavu","1553","2","58.23","3"
"3260","Hormavu","1200","2","68","2"
"3261","Hormavu","765","2","37.49","2"
"3262","Hormavu","1420","3","58","3"
"3263","Hormavu","1250","2","60","2"
"3264","Hormavu","965","2","37.15","2"
"3265","Hormavu","1129","2","44","2"
"3266","Hormavu","1385","2","69.25","3"
"3267","Hormavu","1065","2","50.92","2"
"3268","Hormavu","1046","2","60","2"
"3269","Hormavu","1400","2","75","2"
"3270","Hormavu","1365","2","65","3"
"3271","Hormavu","1196","2","44.8","2"
"3272","Hormavu","1263","2","47.36","2"
"3273","Hormavu","1015","2","39.08","2"
"3274","Hormavu","1550","2","60","3"
"3275","Hormavu","1200","2","73","2"
"3276","Hormavu","1250","2","65","2"
"3277","Hormavu","1604","3","68","3"
"3278","Hormavu","1075","2","53.7","2"
"3279","Hormavu","980","2","42","2"
"3280","Hormavu","1075","2","53.7","2"
"3281","Hormavu","2282","4","115","4"
"3282","Hormavu","1206","2","55","2"
"3283","Hormavu","1310","2","67","2"
"3284","Hormavu","1310","2","60","2"
"3285","Hormavu","1020","2","45.75","2"
"3286","Hormavu","1210","2","69","2"
"3287","Hosa Road","1652","3","85","3"
"3288","Hosa Road","1639","3","80","3"
"3289","Hosa Road","1161","2","55.15","2"
"3290","Hosa Road","1726","3","81.99","3"
"3291","Hosa Road","1161","2","55.15","2"
"3292","Hosa Road","1430","2","97.52","2"
"3293","Hosa Road","1365","2","92","2"
"3294","Hosa Road","1243","2","48.5","2"
"3295","Hosa Road","1541","3","69.84","3"
"3296","Hosa Road","1332","2","86.12","3"
"3297","Hosa Road","615","1","28.29","1"
"3298","Hosa Road","1318","2","85.28","3"
"3299","Hosa Road","1513","3","103","3"
"3300","Hosa Road","1133","2","52","2"
"3301","Hosa Road","1016","2","40","2"
"3302","Hosa Road","972","2","40","2"
"3303","Hosa Road","1161","2","55.15","2"
"3304","Hosa Road","1532","3","98.13","3"
"3305","Hosa Road","1680","3","101","3"
"3306","Hosa Road","880","2","50","2"
"3307","Hosa Road","1533","3","98.18","3"
"3308","Hosa Road","1040","2","68.59","2"
"3309","Hosa Road","1040","2","61","2"
"3310","Hosa Road","2500","3","100","3"
"3311","Hosa Road","1245","2","62","2"
"3312","Hosa Road","1311","2","84.86","3"
"3313","Hosa Road","1512","3","103","3"
"3314","Hosa Road","1726","3","81.99","3"
"3315","Hosa Road","1364","2","64.79","2"
"3316","Hosa Road","1016","2","45","2"
"3317","Hosa Road","1730","3","72.6","3"
"3318","Hosa Road","1360","2","77.61","2"
"3319","Hosa Road","1170","2","65","2"
"3320","Hosa Road","1161","2","55.15","2"
"3321","Hosa Road","1470","2","84.22","3"
"3322","Hosa Road","1513","3","103","3"
"3323","Hosa Road","1708","3","64.05","4"
"3324","Hosa Road","1161","2","48.75","2"
"3325","Hosa Road","1541","3","69.61","3"
"3326","Hosa Road","1016","2","39.95","2"
"3327","Hosakerehalli","2378","3","262","3"
"3328","Hosakerehalli","2376","3","203","3"
"3329","Hosakerehalli","3205","5","380","4"
"3330","Hosakerehalli","3024","5","248","4"
"3331","Hosakerehalli","3024","5","350","4"
"3332","Hosakerehalli","2400","5","250","5"
"3333","Hosakerehalli","1817","4","153","3"
"3334","Hosakerehalli","1304","2","100","2"
"3335","Hosakerehalli","2480","3","245","3"
"3336","Hosakerehalli","925","2","46.5","2"
"3337","Hosakerehalli","2480","4","260","3"
"3338","Hosakerehalli","1596","3","79.8","3"
"3339","Hosakerehalli","1200","2","100","3"
"3340","Hosakerehalli","3205","4","300","4"
"3341","Hosakerehalli","3033","4","326","4"
"3342","Hosakerehalli","600","2","65","2"
"3343","Hosakerehalli","2480","4","265","3"
"3344","Hosakerehalli","925","2","46.25","2"
"3345","Hosakerehalli","2376","3","240","3"
"3346","Hosakerehalli","1500","6","145","5"
"3347","Hoskote","1250","3","50","3"
"3348","Hoskote","1225","3","40","3"
"3349","Hoskote","1740","3","60","3"
"3350","Hoskote","1170","2","45","2"
"3351","Hoskote","1250","3","29","3"
"3352","Hoskote","1200","3","57","3"
"3353","Hoskote","1069","2","38","3"
"3354","Hoskote","1095","2","33.6","2"
"3355","Hoskote","1695","3","50","3"
"3356","Hoskote","1065","2","31.5","2"
"3357","Hoskote","1395","2","63","3"
"3358","Hoskote","1065","2","28.5","2"
"3359","Hoskote","945","2","35","2"
